Title,Latitude,Longtitude,Khu vực,Diện tích,Giá/m2,Giá,Hướng Cửa,Loại Hình,Nội Dung,Giấy Tờ Pháp Lý,Thời Gian
"Chính Chủ Bán Shophoue StarLake Đối Diện 6th Element Tây Hồ Tây, Kinh Doanh Cực Tốt",21.0683576,105.8240984,"Tây Hồ, Hà Nội",323 m²,500 tr/m²,"161,5 tỷ",Đông,nhà riêng,"Chính chủ bán lô shophouse góc mặt đường 40m. - Shophouse lô góc, 3 mặt tiền. - Hướng Đông Nam, Đông Bắc - Mặt tiền rộng 25m, trục chính, kinh doanh tốt. - Diện tích: 323m. - Xây 5 tầng, hoàn thiện mặt ngoài, bên trong để thô, có hố chờ thang máy, thiết kế đẹp. - Kinh doanh tốt, phù hợp với làm văn phòng đại diện tập đoàn lớn, trụ sở cty, - Giá bán: 500tr/m.",Đã có sổ,20/10/2023
"Cần bán gấp căn shophouse 75m2 cạnh phố đi bộ. Giá 19,3 tỷ",20.9757581,105.8626556,"Hoàng Mai, Hà Nội",75 m²,"257,33 tr/m²","19,3 tỷ",Tây,nhà riêng,"Bán gấp căn shophouse The Manor Central Park:- Diện tích: 75m². Xây 5 tầng. - Nhà thiết kế 2 mặt tiền, đã hoàn thiện nội thất CĐT. - Tầng 1: Shophouse. Tầng 2: Phòng khách và bếp. - Tầng 3,4,5: 4 phòng ngủ và 1 phòng thờ. - Vị trí đẹp: View công viên và phố đi bộ. - Giá bán: 19,3 tỷ.Quan tâm liên hệ: 0971 407 ***",Đã có sổ,20/10/2023
Bán gấp căn góc shophouse chân đế tòa Imperia 2 đối diện biển hồ. Lh: 0942 899 ***,21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội","63,3 m²",,Giá thỏa thuận,Tây Bắc,nhà riêng,"Bán gấp lô góc shophouse khối đế toà I2 Vinhomes Smart City. - Diện tích: 63,3m². - Lô góc ngã tư mặt đường lớn. Đối diện biển hồ. - Đã có khách sẵn sàng thuê trả 90tr/tháng. Giá có thương lượng: 1x tỷ. LH: 0942 899 ***",Đã có sổ,20/10/2023
"Shop House chân đế chung cư, rẻ nhất Hà Nội, giá chỉ từ 25,5 triệu/m2, LH: 0369 599 ***",21.18078845,105.707257,"Mê Linh, Hà Nội","268,8 m²","25,5 tr/m²","6,85 tỷ",Tây Nam,shophouse,"Ở đâu có căn Shop House sổ đỏ lâu dài mà giá rẻ như căn Chung cư thương mại? * Vị trí: Trung tâm huyện Mê Linh Hà nội (quy hoạch thành phố Mê Linh); Vỉa hè rộng 8m, mặt đường quốc lộ 23B và đường 2 làn Mê Linh Quang Minh, sát cạnh đường vành đai 4 thủ đô; Cách sân bay Quốc tế Nội Bài chỉ 15 phút, cầu Thăng Long 15 phút... * Pháp lý: Sổ đỏ lâu dài; Chủ đầu tư: Tổng HUD Doanh nghiệp 100% vốn NN. * Thích hợp: Nhà trẻ, TT Ngoại ngữ, TT thể thao, TT v...",Đã có sổ,20/10/2023
"Chính chủ bán gấp căn shophouse 50m2 tại Imperia Minh Khai, Vĩnh Tuy, Hai Bà Trưng giá bán 5.9 tỷ",21.0064704,105.8578519,"Hai Bà Trưng, Hà Nội",50 m²,118 tr/m²,"5,9 tỷ",Tây Bắc,nhà mặt phố,"Chính chủ cần bán căn shophouse D8 tầng 1 tòa D chung cư Imperia Sky Garden đối diện Times City, căn góc 2 mặt tiền vị trí đắc địa nhất tại khu vực. - Diện tích: 50m², mặt tiền rộng 5m. - Đường 15m, sảnh trước shop 100m², siêu thoáng, sát trường học quốc tế đang xây dựng. - Hiện tại đang cho cty thuê kinh doanh thời trang, dòng tiền cho thuê hằng năm cực tốt. - Sổ đỏ chính chủ vĩnh viễn. - Giá bán 5,9 tỷ. - Liên hệ chính chủ: Mr Trung 0947 785 ***",Đã có sổ,20/10/2023
Bán lô shophouse góc cuối cùng mặt đường 427B dự án Him Lam Thường Tín,20.8719979,105.86414,"Thường Tín, Hà Nội",110 m²,"154,54 tr/m²",17 tỷ,Đông Bắc,nhà mặt phố,"Thường Tín giàu có nổi tiếng nhưng chưa có nơi ăn chơi xứng tầm cho đến khi xuất hiện shophouse Him Lam Thường Tín. Kinh doanh gì cũng đắt hàng đông khách đặc biệt mở nhà hàng, trung tâm siêu thị, shop thời trang hàng hiệu, phòng khám, phòng mạch, nha khoa, phòng khám nhi, hiệu sách, siêu thị điện máy, do hưởng lợi trực tiếp từ vị trí gần bệnh viện, trường học, trung tâm hành chính sự nghiệp. - Thiết kế tối ưu với 2 mặt tiền thương mại kinh doanh...",Đã có sổ,20/10/2023
Chính chủ bán shop TMDV HA09 - SP hai mặt tiền! Tầng thượng view biển hồ!,21.0398766,105.9511964,"Gia Lâm, Hà Nội","114,1 m²","94,65 tr/m²","10,8 tỷ",Tây Bắc,nhà mặt phố,"Thông tin chi tiết shop TMDV: Mã căn: HA09 - SP, trung tâm tiểu khu Hải Âu. Vị trí: Khu Hải Âu dự án Vinhomes Ocean Park. Loại hình: Shop TMDV mặt tiền. Hướng nhà: Đông Nam, tọa lạc 3 trục đường nội khu chính. Diện tích đất: 114,1m². Diện tích xây dựng: 53,3m. Tổng DT sàn: 254,9m. Cơ cấu: 5 tầng. Mặt tiền: 5,5m x 20,7m. Hiện trạng: Đã hoàn thiện sàn 5 tầng. Pháp lý: Sở hữu 50 năm. Giá bán: 10,8 tỷ. Thông tin chi tiết: - Các khu shop thương mại Hả...",Đã có sổ,20/10/2023
Chính chủ bán shophouse 150m2 full nội thất xịn tại Sao Biển khu đô thị Vinhomes Ocean Park Gia Lâm,21.0398766,105.9511964,"Gia Lâm, Hà Nội",150 m²,"103,33 tr/m²","15,5 tỷ",Tây Nam,shophouse,"Chính chủ do chuyển đổi nơi ở cần bán căn shophouse tại địa chỉ Sao Biển 19A - 23, đô thị Vinhomes Ocean Park Gia Lâm, Hà Nội (có thang máy). - Diện tích: 150m² gồm 5 tầng 1 tum trong đó có 1 phòng khách, 1 bếp, 3 phòng ngủ, 1 sân thượng phơi đồ, không gian rất thoáng mát sạch sẽ và yên tĩnh. - Đây là một căn nhà hoàn thiện với diện tích 150m² với toàn bộ là nội thất cao cấp được chọn thiết kế cẩn thận và trang thiết bị thang máy Nhật Bản cao cấp...",Đã có sổ,20/10/2023
Bán căn shophouse Hải Âu 5 tầng 90m2 khu đô thị Vinhomes Ocean Park Gia Lâm Hà Nội giá 8.8 tỷ,21.0398766,105.9511964,"Gia Lâm, Hà Nội",90 m²,"97,78 tr/m²","8,8 tỷ",Đông,nhà mặt phố,"Tiêu đề: Bán căn Shophouse Hải Âu 5 tầng 90m² khu đô thị Vinhomes Ocean Park Gia Lâm Hà Nội giá 8.8 tỷ. Nội dung: Chính chủ cần bán căn Shophouse Hải Âu Khu Đô Thị Vinhomes Ocean Park Gia Lâm Hà Nội. - Diện tích: 90m² gồm 5 tầng 1 tum, căn hiện tại đã hoàn tiện bên ngoài như hình. - Được thiết kế hiện đại, phù hợp với mọi nhu cầu của người mua và trang trí nội thất theo nhu cầu của mình. Thuận tiện kinh doanh, văn phòng, công ty. - An ninh cực tố...",Đã có sổ,19/10/2023
Chính Chủ Bán Shophouse 150m2 Full Nội Thất Xịn Tại Sao Biển Khu Đô Thị Vinhomes Ocean Park Gia Lâm,21.0398766,105.9511964,"Gia Lâm, Hà Nội",150 m²,"103,33 tr/m²","15,5 tỷ",Đông,shophouse,"Chính chủ do chuyển đổi nơi ở cần bán căn shophouse tại địa chỉ Sao Biển 19A-23, Đô thị Vinhomes Ocean Park Gia Lâm, Hà Nội (có thang máy) - Diện tích: 150m² gồm 5 tầng 1 tum trong đó có 1 phòng khách, 1 bếp, 3 phòng ngủ, 1 sân thượng phơi đồ, không gian rất thoáng mát sạch sẽ và yên tĩnh. - Đây là một căn nhà hoàn thiện với diện tích 150m² với toàn bộ là nội thất cao cấp được chọn thiết kế cẩn thận và trang thiết bị thang máy Nhật Bản cao cấp ...",Đã có sổ,19/10/2023
